Article Title,Author,Journal Title,Publication Date,Publisher,Subjects,Keywords,text
A call for a new Japanese foreign policy: the dilemmas of a stakeholder state.,"INOGUCHI, TAKASHI",International Affairs,14-Jul,Oxford University Press / USA,INTERNATIONAL relations; POWER (Social sciences); POLITICAL realism; PRAGMATISM; BALANCE of power; GLOBALIZATION; UNITED Nations; CHINA -- Foreign relations -- 21st century; JAPAN -- Foreign relations -- 1989-; JAPAN -- Politics & government -- 1989-; EAST Asia -- Politics & government -- 1945-; FOREIGN relations of the United States -- 21st century,,"Japanese foreign policy is at a crossroads. A global power transition is under way; while the United States remains the leading global power, across the globe non-western developing states are on the rise. Within Asia, China is a growing presence, wielding expansive claims on islands and maritime rights, and embarking on a defence buildup. As power shifts across Asia and the wider world, the terms of leadership and global governance have become more uncertain. Japan now finds itself asking basic questions about its own identity and strategic goals as a Great Power. Within this changing context, there are three foreign policy approaches available to Japan: (1) a classical realist line of working closely with the US in meeting China's rise and optimizing deep US engagement with China by pursuing a diplomacy focused on counterbalancing and hedging; (2) a transformative pragmatist line of rejuvenating itself through Abenomics and repositioning itself in East Asia; and (3) a liberal international line of pursuing a common agenda of enhancing global liberal-oriented norms and rules through multilateral institutions along with the United States and the Asia-Pacific countries. Current Japanese foreign policy contains a mix of all three approaches. The article argues that a greater focus on the second and the third lines would enhance the current approach; it would ensure that Japan is more in harmony with the global environment and help it work positively for global and regional stability and prosperity, thus enabling Japan to pursue an 'honorable place in the world' (as stated in the preamble to its constitution). [ABSTRACT FROM AUTHOR] Copyright of International Affairs is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Changing China in a Changing World.,,Far Eastern Affairs,2011,East View Information Services,"INTERNATIONAL relations; WORLD politics -- 21st century; INTERNATIONAL competition; INTERNATIONAL organization; CHINA; CHINA -- Foreign relations -- 21st century; ECONOMIC conditions in China, 2000-",economy; international relations; People's Republic of China; politics; positioning in the world,"This feature analyzes the basic specificities of the domestic policy of the People's Republic of China and its place in the modem world. It examines the topical problems of Beijing's relations with the leading world ""players"" and certain neighboring countries. The participants in the round table discussion have come to the conclusion that the increasing economic might of China is now seen and felt in the manner of its behavior in the international arena. [ABSTRACT FROM AUTHOR] Copyright of Far Eastern Affairs is the property of East View Information Services and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"A dangerous synergy: energy securitization, great power rivalry and strategic stability in the Asian century.","Phillips, Andrew",Pacific Review,13-Mar,Taylor & Francis Ltd,ENERGY consumption; ENERGY security; INTERNATIONAL economic relations; GREAT powers (International relations); ENERGY policy; INTERNATIONAL cooperation; ASIA; JAPAN -- Foreign relations; CHINA -- Foreign relations; INDIA -- Foreign relations,Asia-Pacific security; economic security; Energy security; Great Power rivalry; securitization,"This paper analyzes the current and prospective implications of Asia's energy consumption revolution for regional stability. Adopting a comparative and historical approach, I argue that Japanese energy security anxieties worked to reinforce regional alignment patterns in East Asia for nearly two decades following the Shanghai communiqué, thereby strengthening regional stability. Conversely, the post-Cold War period has seen in China and India's rise the emergence of Asian energy super-consumers that are not formally aligned with the United States, but that are increasingly dependent on imported energy supplies to fuel their industrialization. This newfound dependence on energy imports has seen both countries follow Japan's longstanding example in securitizing energy as a policy issue. In the context of an already more contested Asia, this trend towards energy securitization has aggravated regional tensions and will continue to do so unless greater efforts are undertaken bilaterally, regionally and globally to foster more effective forms of energy cooperation. [ABSTRACT FROM AUTHOR] Copyright of Pacific Review is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A GAME CHANGER: NORTH KOREA'S THIRD NUCLEAR TEST AND NORTHEAST ASIAN SECURITY.,Jinwook Choi,Journal of East Asian Affairs,Spring/Summer2013,Institute for National Security Strategy,"NUCLEAR weapons testing; NUCLEAR weapons; INTERNATIONAL relations; NATIONAL security; CHINA -- Relations; PARK, Geun-hye, 1952-",alliances and partnerships; Kim Jong-un; the Park Geun-hye government; Trust-building Process,"North Korea's provocations after the third nuclear test have affected the Chinese stance towards the regime. China has condoned the North's nuclear weapons because of its preoccupation with the regime's stability. China is concerned that Korean unification triggered by North Korea's instability could lead to a stronger and more robust U.S.-ROK alliance. Ironically, the costs of the Chinese efforts to keep North Korea stable could indeed result in a stronger U.S.-ROK alliance in the short-run. Thus, China is playing a more active role in discouraging North Korea from escalating tensions. Seoul's efforts to open channels of dialogue with North Korea are welcomed by both the U.S. and China. In this sense, a multilateral dialogue process in Northeast Asia should not be put off. A multilateral cooperation in Northeast Asia is a very important part of the Park Geun-hye government's North Korean policy, which believes that inter-Korean relations should be closely aligned with regional security cooperation. [ABSTRACT FROM AUTHOR] Copyright of Journal of East Asian Affairs is the property of Institute for National Security Strategy and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Good Neighbor of Bad Governance? China's Energy and Mining Development in Southeast Asia.,"Liao, Jessica C.",Journal of Contemporary China,19-Jul,Taylor & Francis Ltd,DIPLOMACY; INTERNATIONAL relations; ENERGY development; BELT & Road Initiative; BUSINESS partnerships,,"The policies of Going Out and Good Neighbor have worked in tandem to direct Chinese diplomacy toward Southeast Asia over the past decades. This article asks how these policies have shaped Chinese energy and mining firms' business decisions in the region. Using a combination of quantitative and qualitative data, this article argues that while Going Out and Good Neighbor have contributed to the growth of China's energy and mining development projects in Southeast Asia, this outcome is not merely the result of a state-directed initiative. The growth is also driven by Chinese state-owned firms that take advantage of Beijing's policy agenda and the institutional shortcomings behind it to plow state-backed resources into business partnerships with weak rule-of-law governments in the region. These partnerships and the associated projects are often touted as an arm of Chinese diplomacy, emboldening these firms to make risky expansion. Moreover, market, diplomatic, social, and geographic factors inherent to Southeast Asia further catalyze Chinese firms' risky business practices while at the same time Beijing, prioritizing diplomatic relations over good governance, has been slow to police problems stemming from its firms' dubious partnerships. In the end, this situation has hurt China's image, contrary to Good Neighbor's intended objectives. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A New Era in Taiwan Politics and its Implications.,"Tan, Andrew T. H.",Asia-Pacific Review,17-May,Taylor & Francis Ltd,PRACTICAL politics; INTERNATIONAL relations; BALANCE of power; DEMOCRATIC Progressive Party (Taiwan); TAIWAN -- Politics & government,,"Taiwan faces an uncertain future after the electoral victory of the pro-independence Democratic Progressive Party (DPP) in the January 2016 elections. The election results, which reflected growing pro-independence sentiments amongst a younger generation of Taiwanese, have set Taiwan on a collision course with China, which is increasingly impatient for reunification to occur. The new US president, Donald Trump, has also added to the tensions by openly questioning the “One China” policy. Another Taiwan Strait crisis today would be fraught with immense risks due to China's dramatic economic and military rise which has altered the regional power balance. Given the increasingly tense China-US strategic rivalry, the US is also not likely to sit idly by should China attack Taiwan. However, the key player in resolving the Taiwan problem is China. For various reasons, it is in fact in China's interest to be patient with the current situation, and maintain the status quo for the immediate and medium-term future, while it constructs a new strategy that could win over the people of Taiwan, since true reunification can only occur if the people on Taiwan willingly accept it. [ABSTRACT FROM AUTHOR] Copyright of Asia-Pacific Review is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A new spear in Asia: why is Japan moving toward autonomous defense?,"Fatton, Lionel P",International Relations of the Asia-Pacific,19-May,Oxford University Press / USA,NATIONAL security; POLITICAL autonomy; INTERNATIONAL security; INTERNATIONAL relations; JAPAN-United States relations; JAPAN -- Foreign relations -- 1989-; JAPAN,,"Japan is on the verge of what would be a dramatic shift in defense posture. The 'spear and shield' structure of the US–Japan alliance, at the center of its security policy for most of the postwar era, is being revamped by a move toward autonomous defense. Why would a country confined to a largely passive and Americanocentrist posture for more than half a century suddenly change course? I argue that autonomy is for Japan the only way out of an unprecedented 'entrapment-abandonment dilemma': any attempt to prevent defection by the United States in the face of an increasingly assertive China heightens to an unacceptable level the risk of Japan being dragged into a US-led conflict in the Korean Peninsula, and vice versa. Japan's ability to wield the spear would likely have destabilizing consequences for the whole Asia-Pacific region. [ABSTRACT FROM AUTHOR] Copyright of International Relations of the Asia-Pacific is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
"A New, Multicultural World Community and an Emerging New, Pluralistic World Order System.","McWhinney, Edward",Chinese Journal of International Law,12-Sep,Oxford University Press / USA,MULTICULTURALISM; UNILATERAL acts (International law); INTERNATIONAL relations; WORLD politics; INTERNATIONAL cooperation,,"This brief comment traces and comments on the themes of “One World”, Bipolarism, Unilateralism and Multiculturalism in international relations and law since the end of World War Two. The comment criticizes unilateralism and expresses support for a multicultural approach to world affairs. [ABSTRACT FROM PUBLISHER] Copyright of Chinese Journal of International Law is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Nonbalancing Act: Explaining Indonesia’s Failure to Balance Against the Chinese Threat.,"Syailendra, Emirza Adi",Asian Security,Sep-Dec2017,Taylor & Francis Ltd,MARITIME law; DEMOCRACY; INTERNATIONAL relations; INDONESIA; CHINA,,"Indonesia faces an increasing maritime threat from China. Incursions of China’s maritime law enforcement forces protecting Chinese ships fishing illegally in Indonesia’s Exclusive Economic Zone pose a threat to President Joko Widodo’s goal of transforming Indonesia into a Global Maritime Fulcrum. China’s actions generate the prediction that Indonesia should balance against China, but this has not occurred. Instead, bureaucratic politics and President Jokowi’s interest in securing Chinese financial support for his ambitious infrastructure projects have prevented the adoption of a more assertive balancing policy. Using Schweller’s argument that threats go unanswered when there is disagreement among key domestic actors, this article argues that a lack of elite consensus in Indonesia is impeding the adoption of a balancing policy. Instead, Indonesia is continuing its traditional policy ofnonbalancing. [ABSTRACT FROM AUTHOR] Copyright of Asian Security is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Norm-Taker or a Norm-Maker? Chinese aid in Southeast Asia.,"Reilly, James",Journal of Contemporary China,12-Jan,Taylor & Francis Ltd,INTERNATIONAL economic relations; ECONOMIC development; NATIONAL interest; REGIONALISM (International organization); TRANSPARENCY in government; CIVIL society; INFRASTRUCTURE (Economics); CHINA; SOUTHEAST Asia; CHINESE economic assistance; CHINA -- Relations -- Southeast Asia; CHINA -- Foreign relations -- Southeast Asia,,"As China expands its development assistance in Southeast Asia, is Chinese aid beginning to emulate international norms and practices or sustaining its own distinct approach to development assistance? This essay argues that China's socialization into international norms varies with the thickness of the institutional environment. In Laos and Cambodia, China's enhanced collaboration with international consortia, improved transparency, and project diversity point to nascent socialization. China's aid to Myanmar, however, remains opaque and largely self-interested. At the regional level, Beijing is bolstering its influence over the norms and practices of regional developmental institutions. [ABSTRACT FROM AUTHOR] Copyright of Journal of Contemporary China is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Quasi-adjudicative Dispute Settlement Mechanism for CEPA: The Rule of Law in Trade Relations between Mainland China and Hong Kong.,"Villalta Puig, Gonzalo",Chinese Journal of International Law,13-Jun,Oxford University Press / USA,RULE of law; CONFLICT management; INTERNATIONAL economic integration; INTERNATIONAL relations; HONG Kong (China); CHINA -- Foreign relations,,"This article analyses the exclusion of the rule of law in dispute settlement from trade relations between Mainland China and Hong Kong. Other than a power-based provision to resolve any problems through consultation, the Closer Economic Partnership Arrangement (CEPA) between the Central People's Government of the People's Republic of China and the Government of the Hong Kong Special Administrative Region does not contain any rules or procedures for the settlement of disputes between the two sides. The politicization of dispute settlement favours the freedom of informality but compromises certainty of implementation, efficiency of consistency, and transparency of justice, all necessary for further and fairer trade creation and economic integration. This article, therefore, calls for the rule of law in trade relations between Mainland China and Hong Kong with a proposal for a quasi-adjudicative dispute settlement mechanism for CEPA that complements the political framework for consultation and negotiation with an adjudicative framework for arbitration and implementation. [ABSTRACT FROM PUBLISHER] Copyright of Chinese Journal of International Law is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Rebalance To Where?: US Strategic Geography in Asia.,"Bisley, Nick; Phillips, Andrew",Survival (00396338),Oct/Nov2013,Taylor & Francis Ltd,"MILITARY relations; INTERNATIONAL relations; TRADE routes; ASIA-United States relations; UNITED States; FOREIGN relations of the United States -- 2009-2017; ASIA; ECONOMIC conditions in Asia, 1945-",,"The author comments on the U.S. government's announcement of rebalancing its foreign- and defense-policy priorities in Asia. Many observers believe that the U.S. is broadening its strategic geography in Asia. Three developments are said to be affecting America's Indo-Pacific reorientation, which include the simultaneous rise of China and India, growing strategic importance of sea lines of communication (SLOCs), and the growth of intra-Asian trade and interconnectivity."
A Responsible Power? China and the UN Peacekeeping Regime.,"Richardson, Courtney J.",International Peacekeeping (13533312),11-Jun,Taylor & Francis Ltd,"PEACEKEEPING forces; INTERNATIONAL relations; NATIONAL security; DIPLOMACY; GREAT powers (International relations); CORRELATION (Statistics); MULTINATIONAL armed forces; CHINA; UNITED Nations; UNITED Nations. Security Council; CHINA -- Foreign relations -- 21st century; UNITED Nations peacekeeping forces; HU, Jintao, 1942-; ZOELLICK, Robert B., 1953-",,"The People's Republic of China asserts that it is a responsible power in international affairs, emphasizing its participation in UN peacekeeping as evidence of its exemplary behaviour. In order to uncover what 'responsible power' means in the context of Chinese participation in peacekeeping, this article analyses the motivations and barriers that shape China's peacekeeping deployments. The term 'responsible power' has value not only because it is flexible, capturing China's ambivalence regarding peacekeeping, but also because 'responsible power' enables China to frame the discourse regarding its foreign and security policy. It appears that for the near future, China remains committed to modest engagement in peacekeeping. The article concludes that China has the potential to foster an ever more constructive role in the UN peacekeeping regime. However, in order to effectively engage China, a deeper understanding of the policy priorities of Chinese foreign policy actors is needed. [ABSTRACT FROM AUTHOR] Copyright of International Peacekeeping (13533312) is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
A Rising China and the Normative Changes in International Society.,"Zhang, Xiaoming",East Asia: An International Quarterly,11-Sep,Springer Nature,INTERNATIONAL relations; CIVILIZATION; EAST & West (World politics); HUMAN rights; DEMOCRATIZATION; INTERNATIONAL cooperation; GREAT powers (International relations); CHINA; CHINA -- Foreign relations; NORM (Philosophy); CHINESE history; CHINA -- Politics & government,International norms; International order; International society; Rise of China,"Normative changes in the Western-dominated international society have been taking place, symbolized by the evolution from the 'standard of civilization' to the 'new standard of civilization'. And the West has always been the developer of the new norms in international society, and changes in international norms reflect the link between power on one hand and norms, rules and institutions on the other. That is a fact or an invented reality which a rapidly rising China has to deal with, and its implications on China's future relationship with the international society are sure to be great and far-reaching. [ABSTRACT FROM AUTHOR] Copyright of East Asia: An International Quarterly is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
