Article Title,Author,Journal Title,Publisher,Subjects,Keywords,text
"A Comparative View of Advocacy Coalitions: Exploring Shale Development Politics in the United States, Argentina, and China.","Heikkila, Tanya; Berardo, Ramiro; Weible, Christopher M.; Yi, Hongtao",Journal of Comparative Policy Analysis,Taylor & Francis Ltd,POLITICAL systems; POLITICAL opportunity theory; ADVOCACY coalition framework,advocacy coalitions; comparative policy process; environmental policy; fracking; shale oil and gas,"Political mobilization of policy actors into advocacy coalitions is a defining feature of policy subsystems. Nonetheless, knowledge about the particularities of advocacy coalitions across different political systems remains limited. This paper offers insights for comparative analysis of advocacy coalitions by exploring the issue of shale development in the United States, Argentina, and China using media content analysis. Methodologically, it advances the study of coalitions by introducing a standardized approach for measuring coalition attributes across countries. Empirically, it explores how coalitions vary in their composition across countries with different political opportunity structures."
A DEAL IS STRUCK IN BUENOS AIRES.,"GLASER, BONNIE S.; FLAHERTY, KELLY",Comparative Connections: A Triannual E-Journal on East Asian Bilateral Relations,Center for Strategic & International Studies,TARIFF; COMMERCIAL treaties; SANCTIONS (International law),,"On the sidelines of the G20 summit, Donald Trump and Xi Jinping put tariff hikes on hold and agreed to resume trade negotiations. Prior to the agreement, the US-China spat spilled over into the multilateral arena causing the first-ever failure to reach a joint communique at the Asia-Pacific Economic Cooperation (APEC) meeting in Port Moresby, Papua New Guinea. The imposition of sanctions by the US on the People's Liberation Army's Equipment Development Department and its director resulted in a temporary setback in military ties. The US took actions against Chinese individuals and hacking rings for allegedly stealing US technology to gain commercial advantage. The second US-China Diplomatic and Security Dialogue was held in Washington DC. Trump and Xi talked by phone in November and December."
A Good Neighbor of Bad Governance? China's Energy and Mining Development in Southeast Asia.,"Liao, Jessica C.",Journal of Contemporary China,Taylor & Francis Ltd,DIPLOMACY; INTERNATIONAL relations; ENERGY development; BELT & Road Initiative; BUSINESS partnerships,,"The policies of Going Out and Good Neighbor have worked in tandem to direct Chinese diplomacy toward Southeast Asia over the past decades. This article asks how these policies have shaped Chinese energy and mining firms' business decisions in the region. Using a combination of quantitative and qualitative data, this article argues that while Going Out and Good Neighbor have contributed to the growth of China's energy and mining development projects in Southeast Asia, this outcome is not merely the result of a state-directed initiative. The growth is also driven by Chinese state-owned firms that take advantage of Beijing's policy agenda and the institutional shortcomings behind it to plow state-backed resources into business partnerships with weak rule-of-law governments in the region. These partnerships and the associated projects are often touted as an arm of Chinese diplomacy, emboldening these firms to make risky expansion. Moreover, market, diplomatic, social, and geographic factors inherent to Southeast Asia further catalyze Chinese firms' risky business practices while at the same time Beijing, prioritizing diplomatic relations over good governance, has been slow to police problems stemming from its firms' dubious partnerships. In the end, this situation has hurt China's image, contrary to Good Neighbor's intended objectives."
A guide for thinking about space deterrence and China.,"Lambakis, Steve",Comparative Strategy,Taylor & Francis Ltd,ENEMIES; BOMBINGS; CHINA; ARTIFICIAL satellites in telecommunication; GLOBAL Positioning System,,"China's economy and military forces are becoming more reliant on space systems.[31] China reportedly has about 250 satellites on orbit, with plans to develop more advanced space systems.[32] China continues to improve the capabilities of its military and intelligence satellites. A paper published by the U.S.-China Economic and Security Commission reports that China also may have tested a high altitude ASAT aimed at attacking GPS satellites.[64] In May 2013 China launched an object into space on a ballistic trajectory that took it near GEO where the United States operates critical early warning, signals intelligence, and communications satellites. Beijing is successfully leveraging its investment ties with more than 60 countries to enforce its foreign policy objectives, and shape foreign interests to align with China's interests, deter confrontation and criticism of China, and in essence bully other countries through debt diplomacy.[180] Any U.S. military success in the Indo-Pacific region, particularly against an ally of China, would be a significant loss of face and a huge blow to not only China's international image, but also to its self-image. Even though China would not want to see major damage to trading relationships, China sees the United States as a competitor to its national objectives and has structured its military forces and deterrence concepts accordingly.[201] We also can assume that Beijing knows that the United States is committed to the security and economic well-being of its allies in the Asia-Pacific region."
A literary approach to Afro-Sino relations: Ufrieda Ho's Paper Sons and Daughters: Growing Up Chinese in South Africa and Ken N. Kamoche's Black Ghosts.,"Vasser, Uchenna P.",Third World Quarterly,Taylor & Francis Ltd,"AFRICA-China relations; IDENTITY (Psychology) in literature; IMMIGRANTS in literature; OVERSEAS Chinese; PAPER Sons & Daughters: Growing up Chinese in South Africa: A Memoir (Book); BLACK Ghosts (Book); KAMOCHE, Ken; HO, Ufrieda",Africa; China; identity-formation; immigrant; inclusion; Literature; migration,"The Afro-Sino engagement supports the study of international relations beyond the framework of a West-centric narrative. Ken Kamoche's fictionalisation of African immigrants in China, and Ufrieda Ho's narration of the vicissitudes of Chinese communities in South Africa, contemplate the consequence of the Africa–Asia engagement on the human condition. While the attendant political apparatuses in the African continent and China laud the mutual benefits of engagement, Kamoche and Ho, by focusing on issues of transmigration, displacement and belonging, identity-formation, and so forth expose the acute Sinocentrism and Afrocentrism that impede the seamless establishment of migrant communities in both geopolitical spaces. The principal objectives of this essay involve a close reading of Kamoche and Ho's novels to focus on the non-state participants of the Afro-Sino relations, and to discuss the emerging transnational, migrant literature that is at once African and Chinese. Ultimately, this essay suggests the formulation of a literary subgenre to embrace the Afro-Sino literary imagination."
A May Fourth Manifesto.,"PIONEERS, YOUNG",New Left Review,New Left Review Ltd.,"SOVEREIGNTY; STRIKES & lockouts; MAY Fourth movement, China, 1919",,"The article talks about May Fourth Movement of 1919, students being in detention, being loyal to Marxism, committing to the cause of the workers, fighting for national sovereignty and boycotting classes, markets and holding strikes."
A Middle Power's Roles in Shaping East Asian Security Order: Analysis of Japan's Engagement from a Normative Perspective.,"Hatakeyama, Kyoko",Australian Journal of Politics & History,Wiley-Blackwell,REGIONALISM (International organization); NATIONAL security; JAPAN -- Foreign relations; EAST Asia -- Foreign relations; CHINA -- Foreign relations; CHINA-United States relations,,"East Asia is currently in a transitional period. Recognizing the challenges presented by China's rise to the current regional order, existing literature analyses the security situation in Asia by focusing on the material aspects of power distribution between the US and China. Few works substantively discuss the roles played by middle powers such as Japan in shaping the regional order and how they can deal with the challenges of great power competition and threats to the global rules‐based order. By employing Japan's involvement in the South China Sea issues as a case study, this article examines how a middle power attempts to shape or underpin the regional security order and if such attempts are effective. The investigation of Japan's engagement illustrates that a middle power's practical support can indirectly and gradually contribute to sustaining and defending the regional ""rules‐based order""."
A NEO-GRAMSCIAN ANALYSIS OF THE INCOMPLETE DOHA DEVELOPMENT TRADE ROUND.,"Balkan Şahin, Üyesi Sevgi",Ankara Universitesi SBF Dergisi / Ankara University SBF Journal,Ankara University SBF Journal,,Counter-hegemony; Doha trade round; Emerging powers; Hegemony; NGOs; Doha ticaret görüşmeleri; Hegemonya; Karşı-hegemonya; Sivil toplum kuruluşları; Yükselen güçler,"This paper analyzes the lack of progress and the breakdown of the Doha Round talks in world trade since 2001 from a neo-Gramscian perspective. The failure to conclude multilateral trade negotiations reflect an emerging new architecture of power politics in the world political-economic order. Major economic powers, including the United States (US), the European Union (EU), Japan and Canada as well as leading transnational companies used to have a significant impact on guiding the agenda of the multilateral trade negotiations as well as defining the outcomes. However, in the context of the WTO, emerging powers such as India, Brazil, and China and several non-governmental organizations critical of neoliberal globalization began to confront the former groups' dominance. Developing and developed countries have contending views on the agenda issues, marked by confrontation on the former's insistence for the liberalization of agricultural markets by industrialized states and the latter's pressure for the liberalization of non-agricultural markets. Both sides employ certain strategies and discourses to coerce or to persuade the opposing parties. Hence, the paper argues that the multilateral trade negotiations emerge as zones of exercising hegemony rather than being an area to produce common norms, values and policies for the well-being of all members in the world trade regime."
A Nested Case–Control Study on Plasma Vitamin E and Risk of Cancer: Evidence of Effect Modification by Selenium.,"Wang, Jiancheng; Guo, Huiyuan; Lin, Tengfei; Song, Yun; Zhang, Hao; Wang, Binyan; Zhang, Yan; Li, Jianping; Huo, Yong; Wang, Xiaobin; Qin, Xianhui; Xu, Xiping",Journal of the Academy of Nutrition & Dietetics,Elsevier B.V.,LOGISTIC regression analysis; CHINA; TUMORS -- Risk factors; CONFIDENCE intervals; ESOPHAGEAL tumors; HYPERTENSION; LIQUID chromatography; MASS spectrometry; SELENIUM; TIME; VITAMIN E; GASTROINTESTINAL tumors; DISEASE incidence; CASE-control method; ODDS ratio,Antioxidant; Cancer incidence; Hypertension; Selenium; Vitamin E,"Abstract Background Evidence from epidemiologic studies has been inconsistent regarding the role of vitamin E in cancer incidence risk. Objective The aim of this study was to evaluate the prospective association between baseline plasma vitamin E levels and subsequent cancer risk in Chinese adults with hypertension, and to identify effect modifiers. Design A nested, case–control study was conducted from 20,702 hypertensive participants in the China Stroke Primary Prevention Trial, a randomized, double-blind, controlled trial, conducted from May 2008 to August 2013. Participants The current study included 229 new cancer cases and 229 controls matched for age (±1 year), sex, treatment group, and study site. Main outcome measures Plasma vitamin E was measured by liquid chromatography with tandem quadrupole mass spectrometers and plasma selenium was measured by inductively coupled plasma mass spectrometry using Thermo Fisher iCAP Q ICP-MS. Statistical analyses Odds ratios (OR) of cancer in relation to plasma concentrations of vitamin E were calculated using conditional logistic regression models. Results Median follow-up duration was 4.5 years. Overall, vitamin E was not associated with subsequent risk of total cancer (per 1-mg/L [2.3 μmol/L] increase: OR 1.01, 95% CI 0.93 to 1.09) and non-gastrointestinal cancer (OR 1.10, 95% CI 0.98 to 1.24). However, there was a significant, inverse association between vitamin E and gastrointestinal cancer (OR 0.86, 95% CI 0.75 to 0.99), particularly esophageal cancer (OR 0.67, 95% CI 0.48 to 0.95). Moreover, high vitamin E decreased the risk of total cancer (OR 0.91, 95% CI 0.84 to 0.99) and gastrointestinal cancer (OR 0.83, 95% CI 0.73 to 0.95) among patients with high selenium levels (median≥83.7 μg/L [1.1 μmol/L]), and increased the risk of total cancer (OR 1.13, 95% CI 1.00 to 1.26) and non-gastrointestinal cancer (OR 1.25, 95% CI 1.03 to 1.50) among those with low selenium levels (<83.7 μg/L [1.1 μmol/L]). Conclusions This study suggests that higher levels of plasma vitamin E are associated with reduced risk of gastrointestinal cancer. High vitamin E decreased the risk of total cancer among patients with high selenium levels, but increased the risk of total cancer among those with low selenium levels."
A New Alliance against the US? Sino-Russian Relations in Response to Trump's Redefined Foreign Policy Priorities.,"Ciborek, Przemysław",International Studies: Interdisciplinary Political & Cultural Journal,Sciendo,"INTERNATIONAL relations; RUSSIA; CHINA; CHINA-Russia relations; TRUMP, Donald, 1946-",Barack Obama; bilateral relations; China; Donald Trump; economic protectionism; economic sanctions; Pivot to Asia; Russia; USA; Vladimir Putin; Xi Jinping,"The current state of bilateral relations between the Russian Federation and the People's Republic of China is described by many international relations experts as the best in history. After taking the president office by Donald Trump, the bilateral relations between America and abovementioned powers are cooling down. Current foreign policy of the People's Republic of China and the Russian Federation focuses on holding a common position in the international political arena, which is in fact an attempt to counter-weight political influence of the US administration and their allies. The dimension of the strategic partnership between China and Russia is also determining the mutual economic dependence, which is now crucial for both powers to build a strong position on the international forum. In addition, Russia is one of the crucial partners for the Chinese-led Belt and Road Initiative (BRI) – by many recognized as the Chinese attempt to break the American economic domination. The collisional course of the American foreign policy towards Russia and China forces the latter to look for Central and Eastern European allies as well as to gain influence in the region of Central Asia which is leading to a constant increase in tensions between China and Russia."
A NEW CHAPTER?,"SNYDER, SCOTT; BYUN, SEE-WON",Comparative Connections: A Triannual E-Journal on East Asian Bilateral Relations,Center for Strategic & International Studies,"CULTURAL relations; RURAL development; HUMAN rights; PYONGYANG (Korea); NORTH Korea; KOREANS; MOON; XI, Jinping, 1953-",,"Beijing and Pyongyang celebrate 70 years of diplomatic relations this year. Xi Jinping traveled to Pyongyang in June for a fifth summit with Kim Jong Un, the first visit to North Korea by China's top leader in 14 years. The meeting aimed to advance the bilateral friendship to a new phase of comprehensive development and drive regional coordination on the Korean Peninsula. In contrast, Xi's 40-minute meeting with South Korean President Moon Jae-in on the sidelines of the G20 Summit in Osaka seemed to marginalize Moon, subordinate the relationship with South Korea, and place Xi as an intermediary between North Korea and the rest of world. Pyongyang's missile tests, however, showed the limited effects of such diplomacy, even after surprise exchanges between US, North Korean, and South Korean leaders in Panmunjom on June 30. The current expansion of China-DPRK political, military, economic, and cultural exchanges also presents challenges to sanctions implementation and human rights promotion."
A New Model of Multilateral Development Bank: a Comparative Study of Road Projects by the AIIB and ADB.,"Zhao, Jianzhi; Gou, Yannan; Li, Wanying",Journal of Chinese Political Science,Springer Nature,DEVELOPMENT banks; INTERNATIONAL economic assistance; INFRASTRUCTURE (Economics); ECONOMIC development; ASIAN Infrastructure Investment Bank; ASIAN Development Bank; ROAD design & construction,ADB; AIIB; Case study; Governance structure; Project analysis,"As one of the hallmarks of China's increasing participation in global economic governance, the establishment of the Asia Infrastructure Investment Bank (AIIB) has been widely studied by scholars and policy circles worldwide. However, most of the existing studies use narrative methods and lack microscopic or macroscopic evidence. By selecting two highly comparable cases, road projects from the AIIB and the traditional multilateral development bank, the Asian Development Bank (ADB), we analyze the management structure, procurement, economy, risk, supervision and safeguard policy framework for both cases. We find that the AIIB mostly aligns with international practices in critical principles but has streamlined project procurement, risk and supervision, which reflects its claim of being ""lean"" and ""clean"". We argue that compared with the ADB, the AIIB is probably more efficient and economically sustainable, which is an improvement on the traditional multilateral development banks (MDBs). However, whether the streamlined procedures lead to higher risks will be tested in time as the AIIB conducts more independent projects in the future."
A new welfare regime in the making? Paternalistic welfare pragmatism in China.,"Mok, Ka Ho; Qian, Jiwei",Journal of European Social Policy,"Sage Publications, Ltd.",PUBLIC welfare; EMPLOYMENT; HEALTH insurance; UNEMPLOYMENT insurance; LABOR supply; LOCAL government; MATHEMATICAL models; METROPOLITAN areas; PATERNALISM; PENSIONS; SOCIAL security; TAXATION; PRIVATE sector; GOVERNMENT policy; SOCIOECONOMIC factors; CHINA; EUROPEAN Union; DATABASES; RURAL conditions; THEORY,China; informal sector; inter-governmental relation; paternalistic welfare pragmatism; social policy; welfare regime,"Since 2003, the Chinese government has been increasing its social expenditure and initiated new social welfare programmes to provide universal social protection and meet citizens' welfare needs. This article uses the wider socio-economic and socio-political contexts to critically examine whether there is a new welfare regime on the rise in China, with a particular reference to whether the increase in social expenditure has really marked a new welfare philosophy or prompted the transformation of China into a protective welfare regime. By analysing prefecture-level data for government expenditures in education, health, social security and assistance programmes between 2003 and 2012, we show a continuation of the Chinese welfare regime in 'paternalistic welfare pragmatism' for two reasons. First, government social expenditures are set on the basis of the prefecture-level government's fiscal capacity. Second, variations of welfare programmes are associated with the dichotomy between the urban formal and informal sectors."
A Path to Critical Citizenship? Evidence from a Panel Study among Chinese Students Studying in Taiwan.,Chia-chou Wang,Taiwan Journal of Democracy,Taiwan Foundation for Democracy,CITIZEN attitudes; PANEL analysis; POLITICAL attitudes; TAIWAN; CHINESE-speaking students; CHINA studies; NEW Year,Casual contact; institutional trust; lifelong openness model; political learning; true acquaintances,"This study explores whether political socialization in Taiwan affects the political attitudes of Chinese students who study in Taiwan, transforming them into critical citizens. A panel study was conducted to examine the level of change in institutional trust in the Communist Party of China, the central government, and the military among Chinese students studying in Taiwan, and to explain change based on political socialization theory and social contact theory. This study found that, after living and studying in Taiwan for four months, Chinese students gradually became critical citizens. Their degree of trust in the institutions of China decreased an average of 0.37 (7.64 percent). Factors that led to a decrease in institutional trust among the Chinese students were visiting a local government agency in Taiwan, visiting the National Palace Museum, frequently interacting with Taiwanese friends, attending the flag-raising ceremony on New Year's Day, having a more negative evaluation of the CPC's performance, and having a decreased preference for the Chinese government. According to the study's findings, if we wish to change the level of trust toward Chinese institutions among Chinese students studying in Taiwan, the following four approaches may be effective: publicize government performance; encourage cross-Strait friendships; encourage discussions among peers; and avoid cross-Strait confrontations."
A Question of Costliness: Time Horizons and Interstate Signaling.,"Haynes, Kyle",Journal of Conflict Resolution,Sage Publications Inc.,"INTERNATIONAL relations -- Psychological aspects; POWER (Social sciences); HISTORY; GAME theory; GREAT powers (International relations); SIGNALLING (Psychology); CHINA-United States relations; INTENTION; GOAL (Psychology); XI, Jinping, 1953-",credibility; game theory; power shift; reassurance; signaling,"This article examines how interstate signaling processes operate under multiple dimensions of uncertainty. The existing signaling literature largely assumes that states communicate and infer one another's intentions in a simplified context where they are only uncertain about one component of the other's preferences. Relaxing this unrealistic assumption, I develop a model of interstate reassurance in which the receiver is uncertain of both the compatibility of the sender's goals and its time horizons. If a receiving state is unsure of the sending state's time horizons, it is more difficult to determine the costliness of a given signal, and thus how credible it is as an indicator of the sender's preferences. I show that under certain conditions, shorter time horizons lead to more credible signaling as states become less willing to incur the short-term costs of misrepresentation. Under other conditions, however, shortened time horizons can incentivize hedging behavior, thus undermining a benign state's ability to credibly signal its intentions. Finally, the model reveals that multidimensional uncertainty can actually facilitate cooperation across a wider range of conditions than one-dimensional uncertainty. I present two brief case illustrations and discuss the model's implications for contemporary US–China relations."
A Rare Bloom in Beijing.,"Johnston, Diane",American Diplomacy,American Diplomacy,INTERNATIONAL relations; DIPLOMATS; DIPLOMACY; AMBASSADORS; AMERICAN diplomats; MA Shiyi,,"The author chronicles on the opening of the first academic degrees in China in 1981. She recalls her experience in coming to the as part of her first assignment at the American embassy where in she was struck with two impressions that include the ignorance of things American and the poverty. The author also shares her meeting with professor Ma Shiyi, who has made a significant contribution to the academic degrees and for showing the essence of a good Communist."
A Role for India in the Korean Peace Process: Contemplating Non‐Realist Approaches to Broaden Relations with the Korean Peninsula.,"Ouellette, Dean J.",Pacific Focus,Wiley-Blackwell,PEACEBUILDING; PEACE; INTERNATIONAL economic relations; INTERNATIONAL relations; INDIA; EAST Asians; DIGITAL footprint; PENINSULAS,engagement; foreign policy; India‐Korea relations; inter‐Korean relations; leadership; peacebuilding; people‐to‐people relations,"As part of its past ""Look East"" and now ""Act East"" policies, India seeks to increase the radius of its influence beyond South Asia by broadening relations with East Asian actors, including South Korea. New Delhi and Seoul continue to promote economic cooperation and explore ways to deepen their strategic partnership. However, for relations to grow substantively and enduringly, both will have to show greater concern, creativity, and caution—especially bearing in mind their mutual neighbor, China. This article explores how, through harnessing its unique longstanding relations with both Koreas and investing in non‐realist approaches resonant of people‐centered engagement, India as a middle power with major power aspirations can lay its footprint softly in Northeast Asia by playing a more pro‐active role to bolster and sustain inter‐Korean rapprochement and peacebuilding efforts."
A sleeping giant awakes? The rise of the Institutional Grammar Tool (IGT) in policy research.,"Dunlop, Claire A.; Kamkhaji, Jonathan C.; Radaelli, Claudio M.",Journal of Chinese Governance,Taylor & Francis Ltd,INTERNATIONAL relations; GOVERNMENT policy; META-analysis; INSTITUTIONAL investors; CORPORATE governance,governance; Institutional Analysis and Development (IAD); Institutional Grammar Tool (IGT); Policy design; theories of the policy process,"The Institutional Grammar Tool (IGT) is an important and relatively recent innovation in policy theory and analysis. It is conceptualized to empirically operationalize the insights of the Institutional Analysis and Development (IAD) framework. In the last decade, political scientists have offered a number of applications of the IGT, mainly focused on disclosing and scrutinizing in-depth the textual configurations of policy documents. These efforts, involving micro-level analyses of syntax as well as more general classifications of institutional statements according to rule types, have underpinned empirical projects mainly in the area of environmental and common-pool resources. Applications of IGT are still in their infancy, yet the growing momentum is sufficient for us to review what has been learned so far. We take stock of this recent, fast-growing literature, analyzing a corpus of 26 empirical articles employing IGTs published between 2008 and 2017. We examine them in terms of their empirical domain, hypotheses, and methods of selection and analysis of institutional statements. We find that the existing empirical applications do not add much to explanation, unless they are supported by research questions and hypotheses grounded in theory. We offer three conclusions. First, to exploit the IGT researchers need to go beyond the descriptive, computational approach that has dominated the field until now. Second, IGT studies grounded in explicit hypotheses have more explanatory leverage, and therefore, should be encouraged when adopting the tool outside the Western world. Third, by focusing on rules, researchers can capture findings that are more explanatory and less microscopic."
A spatial valence model of political participation in China.,"Wu, Jason Y.",Journal of Theoretical Politics,"Sage Publications, Ltd.",POLITICAL participation; IDEOLOGY; POLITICAL competition; STOCHASTIC models; CHINESE,China; ideology; political participation; valence,"In spatial models of political competition in democracies, citizens vote for the party or candidate that is the closest to their own ideological position, while in valence models, voters decide on the basis of non-policy factors, such as competence. What remains unclear, however, is whether citizens in authoritarian regimes use spatial or valence considerations to guide their decisions to participate in politics. This study uses data from the 2015 Chinese Urban Governance Survey to measure the ideology of Chinese citizens, and estimates an empirical stochastic model to explore how Chinese citizens use ideological distance and valence to determine how they want to participate in politics. The results show that valence issues, such as perceived government competence, play a larger role in political participation than ideology."
